"국가(통화단위)별",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"아시아",,,,,,,,,,,,,,,,,,,,,,,
"대한민국(Won)",1131.12,1290.99,1250.65,1191.85,1143.74,1024.13,955.08,929.16,1103.36,1276.35,1156.00,1107.99,1126.76,1095.04,1053.12,1131.52,1160.41,1130.48,1100.58,1166.11,1180.01,1144.61,1292.20
"이스라엘(New Sheqalim)",4.08,4.21,4.74,4.55,4.48,4.49,4.46,4.11,3.59,3.93,3.74,3.58,3.86,3.61,3.58,3.89,3.84,3.60,3.59,3.56,3.44,3.23,3.36
"일본(Yen)",107.77,121.53,125.39,115.93,108.19,110.22,116.30,117.75,103.36,93.57,87.78,79.81,79.79,97.60,105.94,121.04,108.79,112.17,110.42,109.01,106.77,109.75,131.50
"튀르키예(Liras)",0.63,1.23,1.51,1.50,1.43,1.34,1.43,1.30,1.30,1.55,1.50,1.67,1.80,1.90,2.19,2.72,3.02,3.65,4.83,5.67,7.01,8.85,16.55
"북아메리카",,,,,,,,,,,,,,,,,,,,,,,
"캐나다(Can$)",1.49,1.55,1.57,1.40,1.30,1.21,1.13,1.07,1.07,1.14,1.03,0.99,1.00,1.03,1.10,1.28,1.33,1.30,1.30,1.33,1.34,1.25,1.30
"멕시코(Pesos)",9.46,9.34,9.66,10.79,11.29,10.90,10.90,10.93,11.13,13.51,12.64,12.42,13.17,12.77,13.29,15.85,18.66,18.93,19.24,19.26,21.49,20.27,20.13
"미국(US$)",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
"남아메리카",,,,,,,,,,,,,,,,,,,,,,,
"칠레(Pesos)",539.59,634.94,688.94,691.40,609.53,559.77,530.28,522.46,522.46,560.86,510.25,483.67,486.47,495.27,570.35,654.12,676.96,648.83,641.28,702.90,792.73,758.96,873.31
"콜롬비아(Pesos)",2087.92,2299.89,2504.68,2877.54,2628.37,2321.13,2358.59,2077.81,1965.14,2157.60,1899.00,1848.02,1798.01,1868.90,2001.11,2741.78,3055.26,2951.49,2955.70,3281.62,3693.28,3744.24,4256.19
"코스타리카(Colones)",308.19,328.87,359.82,398.66,437.94,477.79,511.30,516.62,526.24,573.29,525.83,505.66,502.90,499.77,538.32,534.57,544.74,567.51,576.97,587.29,584.90,620.78,647.14
"유럽",,,,,,,,,,,,,,,,,,,,,,,
"체코(Koruny)",38.60,38.04,32.74,28.21,25.70,23.96,22.60,20.29,17.07,19.06,19.10,17.70,19.58,19.57,20.76,24.60,24.44,23.38,21.73,22.93,23.21,21.68,23.36
"덴마크(Kroner)",8.08,8.32,7.89,6.59,5.99,6.00,5.95,5.44,5.10,5.36,5.62,5.37,5.79,5.62,5.61,6.73,6.73,6.60,6.31,6.67,6.54,6.29,7.08
"에스토니아(Krooni)",16.97,17.48,16.61,13.86,12.60,12.58,12.47,11.43,10.69,11.26,11.81,-,-,-,-,-,-,-,-,-,-,-,-
"그리스(Drachma)",365.40,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"헝가리(Forint)",282.18,286.49,257.89,224.31,202.75,199.58,210.39,183.63,172.11,202.34,207.94,201.06,225.10,223.70,232.60,279.33,281.52,274.43,270.21,290.66,308.00,303.14,372.60
"아이슬란드(Kronur)",78.62,97.42,91.66,76.71,70.19,62.98,70.18,64.06,87.95,123.64,122.24,115.95,125.08,122.18,116.77,131.92,120.81,106.84,108.30,122.61,135.42,126.99,135.28
"라트비아(Lats)",0.61,0.63,0.62,0.57,0.54,0.56,0.56,0.51,0.48,0.51,0.53,0.50,0.55,0.53,-,-,-,-,-,-,-,-,-
"리투아니아(Litai)",4.00,4.00,3.68,3.06,2.78,2.77,2.75,2.52,2.36,2.48,2.61,2.48,2.69,2.60,2.60,-,-,-,-,-,-,-,-
"노르웨이(Kroner)",8.80,8.99,7.98,7.08,6.74,6.44,6.41,5.86,5.64,6.29,6.04,5.60,5.82,5.88,6.30,8.06,8.40,8.27,8.13,8.80,9.42,8.59,9.61
"폴란드(Zlotys)",4.35,4.09,4.08,3.89,3.66,3.24,3.10,2.77,2.41,3.12,3.02,2.96,3.26,3.16,3.15,3.77,3.94,3.78,3.61,3.84,3.90,3.86,4.46
"슬로바키아(Koruny)",46.04,48.35,45.33,36.77,32.26,31.02,29.70,24.69,21.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"슬로베니아(Tolar)",222.66,242.75,240.25,207.11,192.38,192.71,191.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"스웨덴(Kronor)",9.16,10.33,9.74,8.09,7.35,7.47,7.38,6.76,6.59,7.65,7.21,6.49,6.78,6.51,6.86,8.43,8.56,8.55,8.69,9.46,9.21,8.58,10.11
"스위스(Francs)",1.69,1.69,1.56,1.35,1.24,1.25,1.25,1.20,1.08,1.09,1.04,0.89,0.94,0.93,0.92,0.96,0.99,0.98,0.98,0.99,0.94,0.91,0.95
"영국(Pounds)",0.66,0.69,0.67,0.61,0.55,0.55,0.54,0.50,0.54,0.64,0.65,0.62,0.63,0.64,0.61,0.65,0.74,0.78,0.75,0.78,0.78,0.73,0.81
"유로지역(Euros)",1.08,1.12,1.06,0.88,0.80,0.80,0.80,0.73,0.68,0.72,0.75,0.72,0.78,0.75,0.75,0.90,0.90,0.89,0.85,0.89,0.88,0.85,0.95
"오세아니아",,,,,,,,,,,,,,,,,,,,,,,
"오스트레일리아(A$)",1.72,1.93,1.84,1.54,1.36,1.31,1.33,1.20,1.19,1.28,1.09,0.97,0.97,1.04,1.11,1.33,1.35,1.30,1.34,1.44,1.45,1.33,1.44
"뉴질랜드(NZ$)",2.20,2.38,2.16,1.72,1.51,1.42,1.54,1.36,1.42,1.60,1.39,1.27,1.23,1.22,1.21,1.43,1.44,1.41,1.45,1.52,1.54,1.41,1.58
